course_id,opening_date,closing_date,temps_min,temps_jours
course-v1:IMTx+DMx102+2T2018,2018-06-15 14:33:34,2018-09-03 18:54:44,115461,80
course-v1:IMTx+DMx102+3T2018,2018-09-02 12:10:01,2019-02-17 22:37:33,242547,168
course-v1:IMTx+NET01x+1T2017,2017-01-05 21:12:24,2018-07-18 20:38:30,804926,559
course-v1:IMTx+NET02x+3T2018,2018-10-18 17:19:54,2019-02-11 08:55:42,166535,116
course-v1:IMTx+NET04x+3T2018,2018-08-01 16:31:43,2019-02-14 09:29:37,283257,197
course-v1:inria+41002+session03,2017-09-04 16:52:05,2017-12-14 15:41:40,145369,101
course-v1:inria+41003+session03,2017-05-11 13:57:12,2017-07-19 08:53:28,99056,69
course-v1:inria+41007+session02,2017-05-11 13:18:18,2017-07-19 08:31:52,99073,69
course-v1:inria+41009+session03,2017-10-27 07:36:56,2018-01-08 08:53:06,105196,73
course-v1:inria+41010+session02,2017-10-12 10:05:00,2017-12-16 15:50:04,93945,65
course-v1:inria+41011+session02,2017-07-25 10:00:39,2017-11-15 15:48:30,163067,113
course-v1:inria+41012+session02,2017-04-27 09:33:30,2017-06-26 16:46:17,86832,60
course-v1:inria+41013+session02,2017-04-14 07:38:02,2017-06-30 09:56:55,111018,77
course-v1:inria+41013+session03,2017-09-19 15:17:59,2017-12-10 19:03:45,118305,82
course-v1:isaesupaero+25001+session03,2017-04-03 11:09:49,2017-06-23 07:59:33,116449,81
course-v1:isentoulon+112001+session01,2017-04-11 13:19:28,2017-05-17 20:40:52,52281,36
course-v1:itii+119001+session02,2017-06-12 14:46:09,2017-07-17 14:43:31,50397,35
course-v1:itii+119001+session03,2017-10-16 09:11:32,2017-11-22 09:51:04,53319,37
course-v1:itii+119002+session02,2017-09-18 14:08:57,2017-12-21 14:38:54,135389,94
course-v1:itii+119003+session01,2017-04-24 10:20:01,2017-07-20 09:35:06,125235,87
course-v1:itii+119003+session02,2017-11-13 11:42:40,2017-12-23 08:56:30,57433,40
course-v1:LinuxFoundationX+LFS161x+2T2016,2016-11-22 16:22:33,2017-07-29 18:34:22,358691,249
course-v1:lorraine+30005+session01,2017-04-26 12:52:59,2017-12-20 15:27:10,342874,238
course-v1:lyon3+26001+session05,2019-01-04 08:23:40,2019-04-12 16:47:24,141623,98
course-v1:MinesTelecom+04003+session06,2017-09-14 08:49:28,2018-02-05 17:49:36,207900,144
course-v1:MinesTelecom+04003+session08,2019-03-04 12:05:33,2019-03-05 12:47:34,1482,1
course-v1:MinesTelecom+04004+session04,2017-04-03 09:08:57,2017-10-30 10:23:55,302474,210
course-v1:MinesTelecom+04006+session07,2017-05-29 16:36:07,2017-08-11 09:25:04,106128,74
course-v1:MinesTelecom+04006+session08,2017-08-23 11:30:26,2018-10-27 15:44:55,619454,430
course-v1:MinesTelecom+04006+session09,2017-11-12 17:07:35,2020-12-16 11:27:15,1626859,1130
course-v1:MinesTelecom+04006+session10,2018-11-12 14:59:58,2021-12-30 22:21:56,1647801,1144
course-v1:MinesTelecom+04007S03+session03,2017-09-18 07:55:55,2017-11-15 11:04:35,83708,58
course-v1:MinesTelecom+04010+session04,2017-10-17 08:31:43,2017-12-14 15:23:42,83931,58
course-v1:MinesTelecom+04010+session06,2018-10-16 09:32:47,2018-12-13 14:05:27,83792,58
course-v1:MinesTelecom+04014+session05,2018-01-16 06:16:00,2018-02-23 00:32:03,54376,38
course-v1:MinesTelecom+04016+session02,2017-11-06 12:54:24,2018-01-22 07:47:52,110573,77
course-v1:MinesTelecom+04017+session03,2017-09-08 08:07:13,2018-01-06 02:24:19,172457,120
course-v1:MinesTelecom+04017+session04,2018-05-24 09:27:35,2019-01-26 20:53:55,356366,247
course-v1:MinesTelecom+04017+session05,2019-01-14 08:07:16,2019-07-06 15:21:09,249553,173
course-v1:MinesTelecom+04017+session06,2019-05-28 06:06:08,2019-11-06 21:04:25,234178,162
course-v1:MinesTelecom+04017+session07,2019-11-04 15:27:48,2020-01-17 14:45:57,106518,74
course-v1:MinesTelecom+04017+session08,2020-03-20 09:33:51,2021-08-02 00:23:16,719449,500
course-v1:MinesTelecom+04017+session09,2020-10-28 14:26:43,2021-01-17 14:32:58,116646,81
course-v1:MinesTelecom+04017+session10,2021-04-13 05:42:41,2021-07-01 13:19:11,114216,79
course-v1:MinesTelecom+04017+session11,2021-11-16 07:34:23,2022-04-08 14:06:59,206312,143
course-v1:MinesTelecom+04017+session12,2022-03-30 15:44:01,2022-06-23 18:56:10,122592,85
course-v1:MinesTelecom+04018+session03,2017-11-10 13:42:15,2018-01-31 10:07:45,117865,82
course-v1:MinesTelecom+04018+session04,2019-03-12 10:18:51,2019-08-08 22:43:17,215304,149
course-v1:MinesTelecom+04021+session03,2017-10-16 07:48:38,2017-12-11 22:21:40,81513,56
course-v1:MinesTelecom+04021+session04,2018-04-17 07:08:23,2018-06-18 09:57:33,89449,62
course-v1:MinesTelecom+04021+session05,2018-11-13 08:22:49,2019-12-15 21:51:25,572488,397
course-v1:MinesTelecom+04021+session06,2019-04-02 09:45:16,2019-08-06 08:59:53,181394,126
course-v1:MinesTelecom+04021+session07,2019-12-10 13:51:08,2020-03-07 15:24:59,126813,88
course-v1:MinesTelecom+04021+session08,2020-06-02 00:26:17,2021-04-08 12:23:22,447117,310
course-v1:MinesTelecom+04021+session09,2021-01-04 10:30:28,2022-06-01 17:22:14,739131,513
course-v1:MinesTelecom+04021+session10,2021-05-12 08:23:38,2021-09-27 14:00:01,199056,138
course-v1:MinesTelecom+04021+session11,2022-01-02 14:13:22,2022-06-10 21:20:31,229387,159
